"start","stop","speaker","Global_ID","file","Speaking_To_Each_Other"
3849.3,3849.5,"SPEAKER_11","G01","2_compressed.wav","G00"
3849.5,3849.6,"SPEAKER_18","G00","2_compressed.wav","G01"
4208,4209,"SPEAKER_23","G02","1_compressed.wav","G00"
4209,4216.5,"SPEAKER_09","G00","1_compressed.wav","G02"
4254.4,4263.5,"SPEAKER_01","G01","1_compressed.wav","G00"
4368.9,4374,"SPEAKER_17","G00","2_compressed.wav","G01"
5231.7,5231.7,"SPEAKER_11","G01","2_compressed.wav","G00"
5302.4,5304.1,"SPEAKER_20","G00","3_compressed.wav","G01"
5558.2,5558.3,"SPEAKER_38","G02","2_compressed.wav","G00"
5558.2,5558.3,"SPEAKER_38","G04","3_compressed.wav","G02"
5558.3,5558.4,"SPEAKER_09","G00","1_compressed.wav","G04"
5607.5,5608,"SPEAKER_23","G02","1_compressed.wav","G00"
5608,5616,"SPEAKER_09","G00","1_compressed.wav","G02"
5653.9,5656.5,"SPEAKER_01","G01","1_compressed.wav","G00"
5842.2,5842.8,"SPEAKER_23","G02","1_compressed.wav","G01"
5857.1,5858,"SPEAKER_17","G00","2_compressed.wav","G02"
5858,5858.6,"SPEAKER_27","G03","1_compressed.wav","G00"
5858.6,5858.6,"SPEAKER_17","G00","2_compressed.wav","G03"
5859.6,5862.3,"SPEAKER_27","G03","1_compressed.wav","G00"
5864.1,5865.3,"SPEAKER_17","G00","2_compressed.wav","G03"
6511,6511.1,"SPEAKER_11","G01","2_compressed.wav","G00"
6520,6526.5,"SPEAKER_17","G00","2_compressed.wav","G01"
7006,7007,"SPEAKER_23","G02","1_compressed.wav","G00"
7007,7014.5,"SPEAKER_09","G00","1_compressed.wav","G02"
7052.4,7061.3,"SPEAKER_01","G01","1_compressed.wav","G00"
7204,7204.8,"SPEAKER_17","G00","2_compressed.wav","G01"
7817.7,7817.9,"SPEAKER_30","G04","3_compressed.wav","G00"
7827,7827.3,"SPEAKER_17","G00","2_compressed.wav","G04"
8135.2,8135.2,"SPEAKER_38","G02","2_compressed.wav","G00"
8135.2,8135.2,"SPEAKER_38","G04","3_compressed.wav","G02"
8163.8,8166.1,"SPEAKER_19","G00","3_compressed.wav","G04"
8268.3,8270.2,"SPEAKER_29","G03","1_compressed.wav","G00"
8320,8325.6,"SPEAKER_09","G00","1_compressed.wav","G03"
8404,8405,"SPEAKER_23","G02","1_compressed.wav","G00"
8405,8412.5,"SPEAKER_09","G00","1_compressed.wav","G02"
8450.4,8459.4,"SPEAKER_01","G01","1_compressed.wav","G00"
8539.5,8539.5,"SPEAKER_17","G00","2_compressed.wav","G01"
9059.5,9062,"SPEAKER_11","G01","2_compressed.wav","G00"
9077.8,9085.9,"SPEAKER_18","G00","2_compressed.wav","G01"
9686,9686.2,"SPEAKER_29","G03","1_compressed.wav","G00"
9705,9705.2,"SPEAKER_17","G00","2_compressed.wav","G03"
9802.6,9803,"SPEAKER_23","G02","1_compressed.wav","G00"
9803,9815.4,"SPEAKER_09","G00","1_compressed.wav","G02"
9848.9,9858.1,"SPEAKER_01","G01","1_compressed.wav","G00"
9911.4,9911.4,"SPEAKER_17","G00","2_compressed.wav","G01"
9957,9958.9,"SPEAKER_30","G04","3_compressed.wav","G00"
9977.4,9977.4,"SPEAKER_17","G00","2_compressed.wav","G04"
10376.5,10376.5,"SPEAKER_11","G01","2_compressed.wav","G00"
10380,10381.5,"SPEAKER_17","G00","2_compressed.wav","G01"
10622.1,10623.6,"SPEAKER_30","G04","3_compressed.wav","G00"
10660.8,10660.8,"SPEAKER_17","G00","2_compressed.wav","G04"
10680.2,10680.2,"SPEAKER_11","G01","2_compressed.wav","G00"
10731.4,10732.1,"SPEAKER_17","G00","2_compressed.wav","G01"
11200.6,11202,"SPEAKER_23","G02","1_compressed.wav","G00"
11202,11209.1,"SPEAKER_09","G00","1_compressed.wav","G02"
11247,11249.8,"SPEAKER_01","G01","1_compressed.wav","G00"
11327.4,11328.7,"SPEAKER_17","G00","2_compressed.wav","G01"
12011.5,12011.6,"SPEAKER_30","G04","3_compressed.wav","G00"
12043.6,12047.7,"SPEAKER_20","G00","3_compressed.wav","G04"
12408.8,12410.2,"SPEAKER_04","G04","3_compressed.wav","G00"
12478.1,12480.2,"SPEAKER_17","G00","2_compressed.wav","G04"
12645.2,12648,"SPEAKER_01","G01","1_compressed.wav","G00"
12709,12709,"SPEAKER_17","G00","2_compressed.wav","G01"
12943.9,12945.8,"SPEAKER_11","G01","2_compressed.wav","G00"
12984.6,12985.1,"SPEAKER_17","G00","2_compressed.wav","G01"
12998.3,12998.4,"SPEAKER_11","G01","2_compressed.wav","G00"
13000,13000,"SPEAKER_17","G00","2_compressed.wav","G01"
13158.7,13160.9,"SPEAKER_30","G04","3_compressed.wav","G00"
13165.6,13166,"SPEAKER_17","G00","2_compressed.wav","G04"
13180.8,13180.8,"SPEAKER_30","G04","3_compressed.wav","G00"
13189.4,13190.2,"SPEAKER_17","G00","2_compressed.wav","G04"
13240.2,13244.1,"SPEAKER_30","G04","3_compressed.wav","G00"
13271,13273.7,"SPEAKER_17","G00","2_compressed.wav","G04"
13749.9,13753.9,"SPEAKER_29","G03","1_compressed.wav","G00"
13762,13762.2,"SPEAKER_17","G00","2_compressed.wav","G03"
13812.8,13816.7,"SPEAKER_29","G03","1_compressed.wav","G00"
13838.2,13838.5,"SPEAKER_17","G00","2_compressed.wav","G03"
13996.8,13998,"SPEAKER_23","G02","1_compressed.wav","G00"
13998,14005.3,"SPEAKER_09","G00","1_compressed.wav","G02"
14043.3,14043.3,"SPEAKER_01","G01","1_compressed.wav","G00"
14043.3,14043.3,"SPEAKER_09","G00","1_compressed.wav","G01"
14043.3,14046,"SPEAKER_01","G01","1_compressed.wav","G00"
