,File,Speaker,File1,Top1,Top1_Sim,File2,Top2,Top2_Sim,Group_id,Speaker_id,Top1_id,Top2_id,Character
106,3,47,1,27,0.5116,2,14,0.5822,,3-47,1-27,2-14,
107,3,25,1,06,0.6339,2,13,0.6219,,3-25,1-06,2-13,
108,3,09,1,33,0.7733,2,21,0.7417,,3-09,1-33,2-21,
109,3,15,1,10,0.6439,2,42,0.5115,,3-15,1-10,2-42,
110,3,05,1,14,0.5708,2,27,0.5943,,3-05,1-14,2-27,
111,3,01,1,01,0.9684,2,11,0.9578,group_1,3-01,1-01,2-11,
112,3,12,1,43,0.7373,2,43,0.739,,3-12,1-43,2-43,
113,3,18,1,09,0.9711,2,18,0.9676,,3-18,1-09,2-18,
114,3,19,1,08,0.9406,2,18,0.9646,,3-19,1-08,2-18,
115,3,20,1,09,0.9835,2,18,0.9842,group_0,3-20,1-09,2-18,
116,3,56,1,09,0.9609,2,17,0.9453,,3-56,1-09,2-17,
117,3,41,1,28,0.5361,2,44,0.6987,,3-41,1-28,2-44,
118,3,48,1,17,0.6193,2,15,0.6649,,3-48,1-17,2-15,
119,3,11,1,31,0.5363,2,27,0.6555,,3-11,1-31,2-27,
120,3,57,1,41,0.6801,2,01,0.7179,,3-57,1-41,2-01,
121,3,49,1,33,0.8093,2,21,0.7875,,3-49,1-33,2-21,
122,3,21,1,10,0.4408,2,20,0.4433,,3-21,1-10,2-20,
123,3,35,1,41,0.5851,2,24,0.5605,,3-35,1-41,2-24,
124,3,34,1,05,0.6773,2,45,0.6706,,3-34,1-05,2-45,
125,3,04,1,28,0.7302,2,10,0.6983,,3-04,1-28,2-10,
126,3,54,1,05,0.4793,2,45,0.4628,,3-54,1-05,2-45,
127,3,52,1,17,0.6226,2,15,0.623,,3-52,1-17,2-15,
128,3,31,1,45,0.6221,2,27,0.6043,,3-31,1-45,2-27,
129,3,43,1,14,0.7115,2,21,0.6994,,3-43,1-14,2-21,
130,3,14,1,33,0.5985,2,21,0.6194,,3-14,1-33,2-21,
131,3,24,1,28,0.8046,2,10,0.7662,,3-24,1-28,2-10,
132,3,06,1,41,0.5158,2,28,0.5115,,3-06,1-41,2-28,
133,3,50,1,07,0.4235,2,05,0.443,,3-50,1-07,2-05,
134,3,28,1,16,0.6437,2,15,0.6947,,3-28,1-16,2-15,
135,3,03,1,25,0.4535,2,24,0.503,,3-03,1-25,2-24,
136,3,33,1,05,0.5566,2,,,,3-33,1-05,,
137,3,44,1,35,0.4993,2,15,0.444,,3-44,1-35,2-15,
138,3,13,1,28,0.5565,2,27,0.5393,,3-13,1-28,2-27,
139,3,17,1,42,0.5329,2,26,0.4734,,3-17,1-42,2-26,
140,3,40,1,14,0.4346,2,10,0.4312,,3-40,1-14,2-10,
141,3,55,1,25,0.5339,2,24,0.5355,,3-55,1-25,2-24,
142,3,53,1,19,0.3622,2,16,0.3773,,3-53,1-19,2-16,
143,3,29,1,17,0.644,2,15,0.649,,3-29,1-17,2-15,
144,3,07,1,20,0.6975,2,14,0.5866,,3-07,1-20,2-14,
